,loss,mae,mse,val_loss,val_mae,val_mse
0,9487.132557944646,74.37595,9487.132,5258.31982421875,57.023354,4737.696
1,1868.0288765165542,32.076424,1868.0294,336.5672607421875,16.229712,355.42377
2,84.22596068230887,7.3960667,84.22595,47.75350379943848,5.7842875,42.998863
3,49.6843258615524,6.042672,49.684326,48.29107856750488,5.792678,43.10099
4,49.5943300629419,6.041009,49.594326,45.40618705749512,5.841206,43.848534
5,49.58935922573483,6.048682,49.589355,37.51175117492676,5.841253,43.805645
6,49.617732085878885,6.0534883,49.61772,47.21137046813965,5.7841363,42.85872
7,49.60642200424557,6.056923,49.60642,38.518211364746094,5.827345,43.550606
8,49.602708784360736,6.061577,49.602707,43.745975494384766,5.7926807,42.95809
9,49.525282015876165,6.0599413,49.525272,43.71880531311035,5.8055763,43.174427
10,49.58785576858218,6.0656977,49.58785,49.32403755187988,5.807062,43.18524
11,49.47106787515065,6.068822,49.471077,42.70176124572754,5.776427,42.634525
12,49.49394062208751,6.068629,49.493935,37.738046646118164,5.7736683,42.577072
13,49.50577295394171,6.069406,49.505783,43.98710632324219,5.7946672,42.913998
14,49.516243279926364,6.0721707,49.51623,42.23368453979492,5.768566,42.47585
15,49.49013304521167,6.078046,49.490143,34.06512641906738,5.8396397,43.544693
16,49.398397166577595,6.0758376,49.3984,41.65293502807617,5.756816,42.287876
17,49.416772138504754,6.0716877,49.416782,39.11392402648926,5.8314576,43.406803
18,49.415042179917535,6.0821004,49.41505,40.023193359375,5.834816,43.440483
19,49.357441007144864,6.076375,49.357445,47.353864669799805,5.7747188,42.539078
20,49.37512866466764,6.0759926,49.37513,45.54373359680176,5.8351903,43.42654
21,49.36094691829076,6.072691,49.36095,44.380056381225586,5.8419156,43.515278
22,49.30724567837186,6.071706,49.307247,41.27492332458496,5.834035,43.39747
23,49.040072034275724,6.0597806,49.04007,46.823116302490234,5.719466,41.750183
24,48.46233365460048,6.0149374,48.462334,43.66361045837402,5.7707334,42.54167
25,48.085665342353636,5.990959,48.08568,45.691368103027344,5.693539,41.45194
26,47.65767120179676,5.9685473,47.65767,44.30251502990723,5.7128534,41.64139
27,47.03840568992827,5.933038,47.0384,34.84795570373535,5.648935,40.705074
28,46.41044572137651,5.8994136,46.410442,41.668874740600586,5.642311,40.59129
29,45.64414423041873,5.858819,45.644154,39.48540687561035,5.5381937,39.072124
30,44.95944053786142,5.816964,44.959442,34.169189453125,5.5073714,38.57429
31,44.183379092859845,5.7675915,44.18337,40.92482566833496,5.387126,36.8805
32,43.233528719061894,5.708631,43.233513,42.26818084716797,5.410805,37.15985
33,42.370915542519285,5.659063,42.37091,40.92856025695801,5.426621,37.640892
34,41.44871107453392,5.5983577,41.4487,35.10454750061035,5.204638,34.365025
35,40.50042589221682,5.5361233,40.500423,36.83405113220215,5.2269845,34.610577
36,39.404741598500145,5.461808,39.404743,32.76364803314209,5.126153,33.23938
37,38.38215427739279,5.398714,38.38215,30.746729850769043,4.9718127,31.32803
38,37.43777565161387,5.326652,37.43778,32.883334159851074,4.9457555,30.889458
39,36.29327121235075,5.2535167,36.293266,28.59510326385498,4.8470273,29.698051
40,35.29171505712328,5.17644,35.291718,34.59109878540039,4.9716496,31.545979
41,34.22878586016004,5.103092,34.228794,28.41783618927002,4.710461,28.033226
42,32.911420988658115,5.004767,32.911415,28.200246810913086,4.606318,26.777243
43,31.857492741138216,4.9193964,31.85749,23.657713890075684,4.4775066,25.402021
44,30.749881728300974,4.8341975,30.749884,22.199454307556152,4.467947,25.159428
45,29.54420815479188,4.7461686,29.544207,24.838753700256348,4.250212,23.303345
46,28.55623375991034,4.6633687,28.556242,23.57060718536377,4.2817955,23.092657
47,27.429897340517197,4.5713844,27.4299,22.072745323181152,4.1734986,21.917072
48,26.28591537475586,4.471831,26.285929,20.592754364013672,4.0627785,20.784428
49,25.41437329470165,4.388995,25.414371,21.942066192626953,3.9846995,19.996035
